destinazione;marca;alimentazione;data_immatricolazione
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;14/06/2002
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;14/06/2002
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;02/10/2002
AUTOBUS PER TRASPORTO DI PERSONE;IVECO - FIAT;ELETTR;18/07/2001
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;29/08/2002
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;29/08/2002
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;31/01/2014
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;04/10/2013
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;07/11/2013
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;25/10/2013
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;15/07/2004
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;04/08/2011
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;15/07/2004
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;02/09/2002
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;02/09/2002
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;05/02/2010
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;01/01/1997
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;27/02/2012
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;27/02/2012
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;27/02/2012
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;01/01/1975
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;02/04/2014
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;29/01/2010
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;25/07/2013
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;05/08/2005
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;23/12/2010
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;23/12/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/02/2011
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;24/02/2011
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;27/05/2008
